2015 rank,City,State,2010 Census,2014 land area,Location
284,Santa Maria,California,99553,22.8 sq mi,34.9332°N 120.4438°W
285,Wichita Falls,Texas,104553,72.1 sq mi,33.9067°N 98.5259°W
286,Lakeland,Florida,97422,74.4 sq mi,28.0411°N 81.9589°W
287,Clovis,California,95631,23.3 sq mi,36.4931°N 119.4211°W
288,Lewisville,Texas,95290,42.5 sq mi,33.0383°N 97.0061°W
289,Tyler,Texas,96900,54.4 sq mi,32.35°N 95.30°W
290,El Cajon,California,99478,14.4 sq mi,32.8017°N 116.9605°W
291,San Mateo,California,97207,15.9 sq mi,37.5542°N 122.3131°W
292,Rialto,California,99171,22.4 sq mi,34.1118°N 117.3883°W
293,Edison,New Jersey,99967,30.6 sq mi,40.5040°N 74.3494°W
294,Davenport,Iowa,99685,62.9 sq mi,41.5541°N 90.6040°W
295,Hillsboro,Oregon,91611,24.3 sq mi,45.5167°N 122.9833°W
296,Woodbridge,New Jersey,99585,24.5 sq mi,40.5608°N 74.2926°W
297,Las Cruces,New Mexico,97618,76.3 sq mi,32.3197°N 106.7653°W
298,South Bend,Indiana,101168,41.5 sq mi,41.6769°N 86.2690°W
299,Vista,California,93834,18.7 sq mi,33.1936°N 117.2411°W
300,Greeley,Colorado,92889,30.0 sq mi,40.4167°N 104.7167°W
301,Davie,Florida,91992,35.7 sq mi,26.0814°N 80.2803°W
302,San Angelo,Texas,93200,58.2 sq mi,31.45°N 100.45°W
303,Jurupa Valley,California,0,43.5 sq mi,33.0011°N 117.4706°W
304,Renton,Washington,90927,23.5 sq mi,47.4867°N 122.1953°W
